"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Camera.h", "C++", 37, 0, 0, 22, 59
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Definitions.h", "C++", 52, 0, 0, 16, 68
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Drawable.h", "C++", 17, 0, 1, 13, 31
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\InstancedMesh.h", "C++", 24, 0, 3, 25, 52
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\InstancedModel.h", "C++", 32, 0, 6, 20, 58
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Light.h", "C++", 72, 0, 14, 27, 113
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Log.h", "C++", 29, 0, 1, 7, 37
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Material.h", "C++", 18, 0, 1, 12, 31
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Mesh.h", "C++", 22, 0, 3, 27, 52
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Model.h", "C++", 25, 0, 1, 20, 46
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\ModelLoader.h", "C++", 18, 0, 0, 11, 29
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Renderer.h", "C++", 94, 0, 18, 74, 186
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Scene.h", "C++", 22, 0, 1, 17, 40
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Shader.h", "C++", 32, 0, 0, 14, 46
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Texture.h", "C++", 20, 0, 0, 20, 40
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\TextureHandler.h", "C++", 14, 0, 2, 6, 22
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Transform.h", "C++", 42, 0, 1, 26, 69
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\UI.h", "C++", 57, 0, 3, 16, 76
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Utils.h", "C++", 76, 0, 6, 23, 105
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Volumetric.h", "C++", 30, 0, 2, 22, 54
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\stb_image.h", "C++", 5833, 0, 1294, 862, 7989
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\stb_image_write.h", "C++", 1242, 0, 315, 168, 1725
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Camera.cpp", "C++", -83, 0, -10, -38, -131
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\InstancedMesh.cpp", "C++", -66, 0, -13, -27, -106
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\InstancedModel.cpp", "C++", -69, 0, -3, -29, -101
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Light.cpp", "C++", -86, 0, -7, -29, -122
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Log.cpp", "C++", -78, 0, -2, -23, -103
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Material.cpp", "C++", -10, 0, 0, -2, -12
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Mesh.cpp", "C++", -61, 0, -19, -23, -103
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Model.cpp", "C++", -29, 0, -2, -22, -53
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\ModelLoader.cpp", "C++", -239, 0, -4, -54, -297
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Renderer.cpp", "C++", -638, 0, -115, -278, -1031
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Scene.cpp", "C++", -27, 0, 0, -11, -38
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Shader.cpp", "C++", -184, 0, -9, -45, -238
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Texture.cpp", "C++", -69, 0, -19, -26, -114
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\TextureHandler.cpp", "C++", -23, 0, 0, -17, -40
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Transform.cpp", "C++", -98, 0, -16, -46, -160
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\Volumetric.cpp", "C++", -86, 0, -6, -34, -126
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\glad.c", "C", 0, -9445, -644, -47, -10136
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\main.cpp", "C++", -95, 0, -23, -60, -178
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\src\stb_image.c", "C", 0, -2, 0, 0, -2
"Total", "-", 5867, -9447, 780, 637, -2163
