"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Camera.h", "C++", 37, 0, 22, 59
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Definitions.h", "C++", 52, 0, 16, 68
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Drawable.h", "C++", 17, 1, 13, 31
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\InstancedMesh.h", "C++", 24, 3, 25, 52
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\InstancedModel.h", "C++", 32, 6, 20, 58
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Light.h", "C++", 72, 14, 27, 113
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Log.h", "C++", 29, 1, 7, 37
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Material.h", "C++", 18, 1, 12, 31
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Mesh.h", "C++", 22, 3, 27, 52
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Model.h", "C++", 25, 1, 20, 46
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\ModelLoader.h", "C++", 18, 0, 11, 29
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Renderer.h", "C++", 94, 18, 74, 186
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Scene.h", "C++", 22, 1, 17, 40
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Shader.h", "C++", 32, 0, 14, 46
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Texture.h", "C++", 20, 0, 20, 40
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\TextureHandler.h", "C++", 14, 2, 6, 22
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Transform.h", "C++", 42, 1, 26, 69
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\UI.h", "C++", 57, 3, 16, 76
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Utils.h", "C++", 76, 6, 23, 105
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\Volumetric.h", "C++", 30, 2, 22, 54
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\stb_image.h", "C++", 5833, 1294, 862, 7989
"c:\Users\rapha\Documents\Pessoal\OpenGL\OpenGL\headers\stb_image_write.h", "C++", 1242, 315, 168, 1725
"Total", "-", 7808, 1672, 1448, 10928
